rok,pohlavi,vek,okres_lau_kod,okres_nazev,kraj_nuts_kod,kraj_nazev,pocet_vysetreni,populace
2010,Z,15-19,CZ0100,Praha,CZ010,Hlavní město Praha,9866,27002
2010,Z,15-19,CZ0201,Benešov,CZ020,Středočeský kraj,1010,2635
2010,Z,15-19,CZ0202,Beroun,CZ020,Středočeský kraj,731,2122
2010,Z,15-19,CZ0203,Kladno,CZ020,Středočeský kraj,1644,4294
2010,Z,15-19,CZ0204,Kolín,CZ020,Středočeský kraj,965,2417
2010,Z,15-19,CZ0205,Kutná Hora,CZ020,Středočeský kraj,867,2121
2010,Z,15-19,CZ0206,Mělník,CZ020,Středočeský kraj,1187,2763
2010,Z,15-19,CZ0207,Mladá Boleslav,CZ020,Středočeský kraj,1412,3245
2010,Z,15-19,CZ0208,Nymburk,CZ020,Středočeský kraj,875,2518
2010,Z,15-19,CZ0209,Praha-východ,CZ020,Středočeský kraj,1528,3633
2010,Z,15-19,CZ020A,Praha-západ,CZ020,Středočeský kraj,1118,3062
2010,Z,15-19,CZ020B,Příbram,CZ020,Středočeský kraj,1167,3003
2010,Z,15-19,CZ020C,Rakovník,CZ020,Středočeský kraj,595,1554
2010,Z,15-19,CZ0311,České Budějovice,CZ031,Jihočeský kraj,2167,5103
2010,Z,15-19,CZ0312,Český Krumlov,CZ031,Jihočeský kraj,742,1766
2010,Z,15-19,CZ0313,Jindřichův Hradec,CZ031,Jihočeský kraj,1096,2714
2010,Z,15-19,CZ0314,Písek,CZ031,Jihočeský kraj,632,1866
2010,Z,15-19,CZ0315,Prachatice,CZ031,Jihočeský kraj,486,1453
2010,Z,15-19,CZ0316,Strakonice,CZ031,Jihočeský kraj,691,1881
2010,Z,15-19,CZ0317,Tábor,CZ031,Jihočeský kraj,1267,2819
2010,Z,15-19,CZ0321,Domažlice,CZ032,Plzeňský kraj,615,1699
2010,Z,15-19,CZ0322,Klatovy,CZ032,Plzeňský kraj,857,2392
2010,Z,15-19,CZ0323,Plzeň-město,CZ032,Plzeňský kraj,1778,4154
