rok,kraj_nuts_kod,kraj_nazev,pohlavi,vekova_kategorie,alzheimerova_nemoc,pocet_pacientu
2010,CZ010,Hl. m. Praha,Z,50–59,false,90
2010,CZ010,Hl. m. Praha,M,50–59,false,89
2010,CZ010,Hl. m. Praha,M,50–59,true,61
2010,CZ010,Hl. m. Praha,Z,50–59,true,75
2010,CZ020,Středočeský kraj,Z,50–59,true,76
2010,CZ020,Středočeský kraj,Z,50–59,false,78
2010,CZ020,Středočeský kraj,M,50–59,false,100
2010,CZ020,Středočeský kraj,M,50–59,true,59
2010,CZ031,Jihočeský kraj,M,50–59,false,50
2010,CZ031,Jihočeský kraj,Z,50–59,true,40
2010,CZ031,Jihočeský kraj,M,50–59,true,31
2010,CZ031,Jihočeský kraj,Z,50–59,false,44
2010,CZ032,Plzeňský kraj,Z,50–59,false,24
2010,CZ032,Plzeňský kraj,M,50–59,false,35
2010,CZ032,Plzeňský kraj,M,50–59,true,16
2010,CZ032,Plzeňský kraj,Z,50–59,true,16
2010,CZ041,Karlovarský kraj,M,50–59,false,20
2010,CZ041,Karlovarský kraj,M,50–59,true,14
2010,CZ041,Karlovarský kraj,Z,50–59,false,15
2010,CZ041,Karlovarský kraj,Z,50–59,true,8
2010,CZ042,Ústecký kraj,M,50–59,true,35
2010,CZ042,Ústecký kraj,M,50–59,false,75
2010,CZ042,Ústecký kraj,Z,50–59,false,51
2010,CZ042,Ústecký kraj,Z,50–59,true,44
2010,CZ051,Liberecký kraj,Z,50–59,false,27
2010,CZ051,Liberecký kraj,Z,50–59,true,21
2010,CZ051,Liberecký kraj,M,50–59,true,10
2010,CZ051,Liberecký kraj,M,50–59,false,35
2010,CZ052,Královéhradecký kraj,M,50–59,true,22
2010,CZ052,Královéhradecký kraj,Z,50–59,false,28
2010,CZ052,Královéhradecký kraj,Z,50–59,true,20
2010,CZ052,Královéhradecký kraj,M,50–59,false,45
2010,CZ053,Pardubický kraj,M,50–59,true,25
2010,CZ053,Pardubický kraj,Z,50–59,true,30
2010,CZ053,Pardubický kraj,Z,50–59,false,36
2010,CZ053,Pardubický kraj,M,50–59,false,50
2010,CZ063,Vysočina,M,50–59,false,33
2010,CZ063,Vysočina,Z,50–59,false,28
2010,CZ063,Vysočina,M,50–59,true,19
2010,CZ063,Vysočina,Z,50–59,true,22
2010,CZ064,Jihomoravský kraj,M,50–59,false,125
